region,etablissements_prives,etablissement_publics,qualifiant_publics,college_publics,primaire_publics
CASABLANCA-SETTAT,1341,1719,209,366,1144
FES-MEKNES,781,1403,142,270,991
LAAYOUNE-BOUJDOUR-SAKIA AL HAMRA,183,142,24,35,83
RABAT-SALE-KENITRA,844,1242,144,281,817
BENI MELLAL-KHENIFRA,390,834,88,154,592
DRAA-TAFILALET,126,809,86,131,592
ORIENTAL,301,872,95,170,607
SOUSS-MASSA,466,975,102,166,707
ED DAKHLA-OUED EDDAHAB,119,45,8,10,27
MARRAKECH-SAFI,477,1541,125,257,1159
TANGER-TETOUAN-AL HOCEIMA,538,1235,126,234,875
GUELMIM-OUED NOUN,68,259,39,48,172
