Ville;Nom;Adresse;Téléphone;Fax;Site web;Latitude;Longitude
Agadir;Université Ibnou Zohr;Université Ibn Zohr - BP 32/S Agadir;(+212) 05 28 22 71 25;(+212) 05 28 22 72 60;www.univ-ibnzohr.ac.ma/;30,406706;-9,578119
Béni Mellal;Université Sultan Moulay Slimane;BP. 591 - 23000, Beni-Mellal;(+212) 05 23 48 02 18;(+212) 05 23 48 13 51;www.usms.ma/;32,336007;-6,369478
Casablanca;Université Hassan II Aïn Chock;19 Rue Tarik Bnou Ziad  -Casablanca;(+212) 05 22 27 37 37;(+212) 05 22 27 61 50;www.uh2c.ac.ma/;33,539824;-7,657102
El Jadida ;Université Chouaïb Eddoukkali ;Av. Jabrane Khalil Jabrane B.P.299 -El Jadida;(+212) 05 23 34 44 47;(+212) 05 23 34 44 49;www.ucd.ac.ma/;33,228648;-8,488772
Fès ;Université Al Quaraouiyine ;Présidence, B.P : 2509 - Fès;(+212) 05 35 64 10 06;(+212) 05 35 64 10 13;;34,065143;-4,973335
Fès ;Université Sidi Mohammed Ben Abdellah;Route d'Imouzzer B.P.2626 - Fès;(+212) 05 35 60 96 60 ;(+212) 05 35 60 96 50;www.usmba.ac.ma/;34,033936;-4,979823
Kénitra;Université Ibn Tofaîl;Campus Universitaire, B.P 242 Av. de L'Université, Kénitra;(+212) 05 37 32 92 00;(+212) 05 37 37 40 52;www.univ-ibntofail.ac.ma/;34,246309;-6,585254
Marrakech;Université Cadi Ayyad;Av. Prince Moulay Abdellah, B.P. 511 -Marrakech;(+212) 05 24 43 48 13;(+212) 05 24 43 44 94;www.ucam.ac.ma/;31,651938;-8,054506
Meknès;Université Moulay Ismaîl;Présidence, Marjane 2, B.P:298, Meknès;(+212) 05 35 46 73 06;(+212) 05 35 46 73 05;www.umi.ac.ma/;33,856075;-5,574445
Mohammedia;Université Hassan II de Mohammedia;Av.Hassan II - B.P 150 - Mohammedia;(+212) 05 23 31 46 35;(+212) 05 23 31 46 34;www.univh2m.ac.ma;33,703248;-7,373848
Oujda;Université Mohammed Premier;Présidence, B.P. 524 -Oujda;(+212) 05 36 50 06 12;(+212) 05 36 50 06 09;;34,650138;-1,898891
Rabat;Université Mohammed V Agdal;Av.des Nations Unies, B.P: 554 Chellah -Rabat;(+212) 05 37 27 27 50;(+212) 05 37 67 14 01;www.um5a.ac.ma/;33,999194;-6,843552
Rabat;Université Mohammed V Souissi ;Av. Allal El Fassi et Mfadel Cherkaoui, 8007 -Rabat;(+212) 05 37 77 43 87;(+212) 05 37 68 11 63;www.um5s.ac.ma/;33,98756;-6,859009
Settat;Université Hassan Premier ;Complexe universitaire, km3, route de Casablanca;(+212) 05 23 72 12 75 ;(+212) 05 23 72 12 74;www.uh1.ac.ma/;33,029156;-7,615702
Tétouan;Université Abdelmalek Essaâdi;Rue Moulay El Hassan B.P : Martil 211 -Tétouan;(+212) 05 39 97 91 28;(+212) 05 39 97 90 53;www.uae.ma/;35,560779;-5,364461
