region,ml_2001,ml_2002,ml_2003,ml_2004,ml_2005,ml_2006,ml_2007,ml_2008,ml_2009,ml_2010,ml_2011,ml_2012,ml_2013,ml_2014,ml_2015,ml_2016,ml_2017,ml_2018,ml_2019
CASABLANCA-SETTAT,1818.52984878726,1873.003582961,1862.8948833633,1903.34338696535,1974.20995248567,2025.1350734917,2082.48618067756,2196.86254614554,2281.58754070324,2412.68660732659,2513.16272281354,2611.95581239033,2667.14432592532,2714.39877694459,2720.80671231406,2741.30692508271,2785.98285995214,2821.64790162566,2869.14372255628
FES-MEKNES,1231.45460358439,1248.85877023872,1256.88007131234,1257.6819254378,1293.66452329779,1314.21186858663,1360.11339140981,1434.2635236981,1503.80139123316,1594.00641081323,1655.79827601309,1713.25701983045,1748.67805908676,1765.96901538207,1738.74916004739,1766.5463475716,1792.8518771404,1814.92389113175,1838.52350407545
LAAYOUNE-BOUJDOUR-SAKIA AL HAMRA,888.487501178004,921.915754467939,977.353205001553,1040.42813570684,1063.66863527449,1093.11261728893,1152.27442238996,1193.78479851079,1250.2908742723,1308.56405647939,1353.38044044412,1383.14416036547,1422.69604241218,1466.4351630498,1493.44373374633,1516.2873495885,1538.48005212287,1554.81039643,1595.26849313408
RABAT-SALE-KENITRA,1318.13762119555,1325.08430084699,1347.7025651093,1422.47789326054,1485.91574145513,1556.26797299102,1628.64720532362,1697.0339510274,1756.14152683919,1786.63084245914,1840.42843636368,1948.54260643026,2025.46743382263,2105.072429365,2249.49226705,2288.79144431,2319.90601185,2385.9129514,2462.9102786
BENI MELLAL-KHENIFRA,1052.09463173507,1068.92721140493,1095.23657247977,1118.9478465027,1122.31204950741,1123.37494554478,1154.94408922068,1183.13812772369,1221.58991610942,1234.69377514677,1246.13641169483,1259.65716005774,1273.41821376071,1287.42517265333,1267.02048252654,1298.48662757042,1329.91215141441,1361.898838565,1415.49296929773
DRAA-TAFILALET,846.325357783473,860.577691731754,865.328254647041,870.10450745337,874.568409702028,879.395162077726,884.248004249181,889.127071340691,894.032499117711,898.964423989318,903.922983010672,908.90831388549,938.04363172256,968.367190625115,969.832069927951,1009.28241988183,1066.50522929212,1116.56598150257,1189.76346542605
ORIENTAL,1096.69991921664,1153.06071565771,1187.84605604931,1225.2286599279,1276.88190992243,1294.71302638893,1335.0360452441,1383.85919911546,1447.97421139899,1499.59127824759,1523.9783695478,1550.61171030169,1573.53181595506,1593.9228801884,1644.78531450235,1664.11448648073,1727.53332331765,1757.20446807,1792.47165458853
SOUSS-MASSA,1556.047868512,1658.20747649301,1668.53602267067,1682.75931008989,1650.64107747422,1668.0707545253,1684.28703904756,1720.00298528575,1796.31095113142,1840.60968183557,1903.80215446508,1964.66819202596,2032.38297712226,2075.9953549304,2010.60024406817,2032.60198145734,2065.40915913973,2094.79335532,2109.39659396179
ED DAKHLA-OUED EDDAHAB,1224.12812590079,1216.99456399394,1175.6816720126,1207.02968250959,1221.62663797414,1300.72889834555,1387.05949656393,1429.61196779124,1486.01056812659,1517.80999858776,1550.06013994429,1582.31028130082,1614.22030697047,1635.24432625035,1649.97087240655,1687.10005458661,1760.84342256,1768.31020656,1933.42282992
MARRAKECH-SAFI,1298.313801,1369.433988845,1421.704361075,1492.716491855,1521.56152799,1576.623287305,1646.67373079,1712.621761975,1781.37451444,1919.85318622,2016.76001056,2096.74244355,2133.268194,2185.66180078,2109.001101555,2131.03006166,2148.074703695,2183.311497225,2239.14880157266
TANGER-TETOUAN-AL HOCEIMA,1522.80577191253,1619.87588080496,1731.0889245997,1856.51896254035,2013.51340091967,2121.24902004032,2250.05926109765,2313.59090670051,2310.81906010908,2439.97815884227,2487.0448753299,2565.94819154192,2663.72425041749,2725.60942401552,2679.03247305812,2719.45724769275,2748.64505698684,2779.9127396,2793.55846381188
GUELMIM-OUED NOUN,839.913470562506,818.804541492039,843.724419841268,877.570578460815,890.798779731194,899.137723892046,864.772932363439,898.345179277022,940.043205742843,987.496459375703,993.944207254187,1006.58944042004,1013.94960417564,1035.11985956926,1022.78811918333,1041.77938582552,1063.66407529856,1086.43727424518,1114.87468908047
